'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.,'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.
-- Please Select --,-- Please Select --
Add New Class,Add New Class
Add New Tax Rate,Add New GST Rate
Add New Tax Rule,Add New GST Rule
After Discount,After Discount
An error occurred while deleting this rate.,An error occurred while deleting this rate.
An error occurred while deleting this rate. Incorrect rate ID.,An error occurred while deleting this rate. Incorrect rate ID.
An error occurred while deleting this tax class.,An error occurred while deleting this GST class.
An error occurred while deleting this tax rule.,An error occurred while deleting this GST rule.
An error occurred while saving this rate.,An error occurred while saving this rate.
An error occurred while saving this tax class.,An error occurred while saving this GST class.
An error occurred while saving this tax class. A class with the same name already exists.,An error occurred while saving this GST class. A class with the same name already exists.
An error occurred while saving this tax rule.,An error occurred while saving this GST rule.
Apply Customer Tax,Apply Customer GST
Apply Discount On Prices,Apply Discount On Prices
Apply Tax On,Apply GST On
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including GST is calculated based on store GST, if ""Apply GST after Discount"" is selected."
Are you sure you want to do this?,Are you sure you want to do this?
Back,Back
Before Discount,Before Discount
CSV,CSV
Calculation Settings,Calculation Settings
Catalog Prices,Catalog Prices
Class Name,Class Name
Code,Code
Country,Country
County,County
Custom price if available,Custom price if available
Customer Tax Class,Customer GST Class
Customer Tax Class Information,Customer GST Class Information
Customer Tax Classes,Customer GST Classes
Default Country,Default Country
Default Post Code,Default Post Code
Default State,Default State
Default Tax Destination Calculation,Default GST Destination Calculation
Delete Class,Delete Class
Delete Rate,Delete Rate
Delete Rule,Delete Rule
Display Full Tax Summary,Display Full GST Summary
Display Prices,Display Prices
Display Product Prices In Catalog,Display Product Prices In Catalog
Display Shipping Amount,Display Shipping Amount
Display Shipping Prices,Display Shipping Prices
Display Subtotal,Display Subtotal
Display Zero Tax Subtotal,Display Zero GST Subtotal
Edit Class,Edit Class
Edit Class '%s',Edit Class '%s'
Edit Rule,Edit Rule
Edit Tax Rate,Edit GST Rate
Excl. Tax,Excl. GST
Excl. Tax:,Excl. GST:
Excluding Tax,Excluding GST
Export Tax Rates,Export GST Rates
Grand Total (Excl. Tax),Grand Total (Excl. GST)
Grand Total (Excl.Tax),Grand Total (Excl.GST)
Grand Total (Incl. Tax),Grand Total (Incl. GST)
Grand Total (Incl.Tax),Grand Total (Incl.GST)
Grand Total Excl. Tax,Grand Total Excl. GST
Grand Total Incl. Tax,Grand Total Incl. GST
Import / Export Tax Rates,Import / Export GST Rates
Import Tax Rates,Import GST Rates
Inc. Tax,Inc. GST
Incl. Tax,Incl. GST
Incl. Tax:,Incl. GST:
Include Tax In Grand Total,Include GST In Grand Total
Including Tax,Including GST
Including and Excluding Tax,Including and Excluding GST
Invalid file format upload attempt,Invalid file format upload attempt
Invalid file upload attempt,Invalid file upload attempt
Manage Customer Tax Classes,Manage Customer GST Classes
Manage Product Tax Classes,Manage Product GST Classes
Manage Tax Rates,Manage GST Rates
Manage Tax Rules,Manage GST Rules
Manage Tax Zones & Rates,Manage GST Zones & Rates
Name,Name
New Class,New Class
New Rule,New Rule
New Tax Rate,New GST Rate
No,No
None,None
One of the country has invalid code.,One of the country has invalid code.
"Orders, Invoices, Creditmemos Display Settings","Orders, Invoices, Creditmemos Display Settings"
Original price only,Original price only
Price Display Settings,Price Display Settings
Priority,Priority
Product Tax Class,Product GST Class
Product Tax Class Information,Product GST Class Information
Product Tax Classes,Product GST Classes
Range From,Range From
Range To,Range To
Rate,Rate
Rate Percent,Rate Percent
Reset,Reset
Row Total,Row Total
Sales,Sales
Save Class,Save Class
Save Rate,Save Rate
Save Rule,Save Rule
Save and Continue Edit,Save and Continue Edit
Shipping & Handling (Excl.Tax),Shipping & Handling (Excl.GST)
Shipping & Handling (Incl.Tax),Shipping & Handling (Incl.GST)
Shipping (Excl. Tax),Shipping (Excl. GST)
Shipping (Incl. Tax),Shipping (Incl. GST)
Shipping Excl. Tax (%s),Shipping Excl. GST (%s)
Shipping Incl. Tax (%s),Shipping Incl. GST (%s)
Shipping Prices,Shipping Prices
Shopping Cart Display Settings,Shopping Cart Display Settings
Sort Order,Sort Order
State,State
State/Region,State/Region
Subtotal (Excl. Tax),Subtotal (Excl. GST)
Subtotal (Excl.Tax),Subtotal (Excl.GST)
Subtotal (Incl. Tax),Subtotal (Incl. GST)
Subtotal (Incl.Tax),Subtotal (Incl.GST)
Tax,GST
Tax Calculation Based On,GST Calculation Based On
Tax Calculation Method Based On,GST Calculation Method Based On
Tax Class for Shipping,GST Class for Shipping
Tax Classes,GST Classes
Tax Identifier,GST Identifier
Tax Rate,GST Rate
Tax Rate Information,GST Rate Information
Tax Rule Information,GST Rule Information
Tax Rules,GST Rules
Tax Section,GST Section
Tax Titles,GST Titles
"Tax rates at the same priority are added, others are compounded.","GST rates at the same priority are added, others are compounded."
The tax class has been deleted.,The GST class has been deleted.
The tax class has been saved.,The GST class has been saved.
The tax rate has been deleted.,The GST rate has been deleted.
The tax rate has been imported.,The GST rate has been imported.
The tax rate has been saved.,The GST rate has been saved.
The tax rule has been deleted.,The GST rule has been deleted.
The tax rule has been saved.,The GST rule has been saved.
This class no longer exists,This class no longer exists
This rule no longer exists,This rule no longer exists
This rule no longer exists.,This rule no longer exists.
Total,Total
Unit Price,Unit Price
Whether catalog prices entered by admin include tax.,Whether catalog prices entered by admin include GST.
Whether shipping amounts entered by admin or obtained from gateways include tax.,Whether shipping amounts entered by admin or obtained from gateways include GST.
XML,XML
Yes,Yes
You cannot delete this tax class as it is used for %d customer groups.,You cannot delete this GST class as it is used for %d customer groups.
You cannot delete this tax class as it is used for %d products.,You cannot delete this GST class as it is used for %d products.
You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,You cannot delete this GST class as it is used in GST Rules. You have to delete the rules it is used in first.
Zip/Post Code,Zip/Post Code
Zip/Post is Range,Zip/Post is Range
